Total commits,Total commits per day,Accumulated commits,Committers,Committers Weight
4,0.0833333333333333,1709,1,100
52,0.183098591549296,1705,6,3.05795899016238
14,0.194444444444444,1653,4,22.2634508348794
0,0,1639,0,0
4,0.444444444444444,4813,2,37.5
68,0.345177664974619,4809,17,2.65218489517555
133,0.810975609756098,4741,17,1.78984593137004
0,0,4608,0,0
239,6.82857142857143,3103,9,1.50971973914368
596,5.57009345794393,2864,15,0.410058672737078
408,5.74647887323944,2268,10,0.704255181149205
415,5.92857142857143,1860,12,0.727609485328037
210,6.7741935483871,1445,9,1.82341154489834
189,6.3,1235,11,1.09502641456952
0,0,1046,0,0
226,2.75609756097561,1573,14,3.00893065784855
248,0.654353562005277,1347,15,1.90076604071384
0,0,1099,0,0
0,0,7705,0,0
12,12,7705,5,11.437908496732
17,4.25,7693,8,7.11814137419674
0,0,7676,0,0
12,12,7676,3,11.9047619047619
13,6.5,7664,4,14.4796380090498
1,0.5,7651,1,100
9,9,7650,4,19.7530864197531
9,9,7641,3,15.5555555555556
21,10.5,7632,6,6.25651720542231
8,8,7611,3,17.3076923076923
11,3.66666666666667,7603,3,12.9186602870813
0,0,7592,0,0
13,13,7592,4,9.92555831265509
10,10,7579,3,18.2608695652174
13,13,7569,4,12.51629726206
8,2.66666666666667,7556,4,15.625
14,14,7548,4,12.1951219512195
18,9,7534,2,19.7530864197531
7,7,7516,4,17.5824175824176
0,0,7509,0,0
19,4.75,7509,5,7.36842105263158
0,0,7490,0,0
21,10.5,7490,5,6.68337510442774
10,10,7469,4,12.7272727272727
14,3.5,7459,6,9.70350404312669
21,21,7445,4,8.55614973262032
10,5,7424,3,14.1176470588235
7,2.33333333333333,7414,3,19.4805194805195
13,13,7407,5,9.35550935550936
11,11,7394,4,16.7832167832168
7,7,7383,3,19.4805194805195
13,13,7376,4,9.92555831265509
13,3.25,7363,3,14.4230769230769
34,17,7350,5,6.02582496413199
10,10,7316,3,14.1176470588235
7,7,7306,2,24.4897959183673
7,2.33333333333333,7299,2,24.4897959183673
7,7,7292,2,24.4897959183673
13,13,7285,4,11.7839607201309
0,0,7272,0,0
11,11,7272,5,10.9717868338558
22,5.5,7261,4,9.59040959040959
9,9,7239,3,15.5555555555556
0,0,7230,0,0
19,9.5,7230,3,17.4515235457064
10,10,7211,2,18
10,3.33333333333333,7201,3,18.2608695652174
0,0,7191,0,0
13,13,7191,4,11.7839607201309
12,12,7178,5,10.1010101010101
13,13,7166,6,11.7839607201309
17,4.25,7153,3,11.2299465240642
0,0,7136,0,0
7,7,7136,3,19.4805194805195
11,11,7129,4,11.6363636363636
17,8.5,7118,5,9.51557093425606
0,0,7101,0,0
19,4.75,7101,4,8.20232399179768
7,7,7082,4,17.5824175824176
24,12,7075,2,15.2777777777778
2,1,7051,1,100
18,9,7049,4,10.6995884773663
0,0,7031,0,0
22,11,7031,6,6.70640834575261
0,0,7009,0,0
25,6.25,7009,4,12.2247191011236
0,0,6984,0,0
0,0,6984,0,0
22,11,6984,6,6.70640834575261
0,0,6962,0,0
13,13,6962,4,9.92555831265509
14,3.5,6949,3,13.469387755102
0,0,6935,0,0
23,11.5,6935,3,12.3913043478261
12,12,6912,3,15.5172413793103
7,1.75,6900,3,24.4897959183673
0,0,6893,0,0
11,11,6893,5,12.396694214876
17,5.66666666666667,6882,3,11.2299465240642
7,2.33333333333333,6865,2,24.4897959183673
15,15,6858,3,12.6315789473684
14,14,6843,2,13.265306122449
5,2.5,6829,2,32
11,2.75,6824,3,18.475073313783
0,0,6813,0,0
7,7,6813,2,24.4897959183673
20,10,6806,6,7.35849056603774
7,2.33333333333333,6786,2,24.4897959183673
13,13,6779,2,14.2011834319527
9,9,6766,4,14.0350877192982
9,9,6757,3,20
0,0,6748,0,0
9,9,6748,4,14.0350877192982
19,4.75,6739,4,8.20232399179768
9,9,6720,2,19.7530864197531
8,8,6711,2,21.875
7,1.75,6703,2,24.4897959183673
0,0,6696,0,0
17,17,6696,2,20.7612456747405
13,13,6679,4,9.92555831265509
6,6,6666,2,27.7777777777778
9,9,6660,2,19.7530864197531
8,2.66666666666667,6651,2,21.875
0,0,6643,0,0
21,10.5,6643,4,9.23520923520923
21,10.5,6622,3,13.4920634920635
12,4,6601,2,15.2777777777778
0,0,6589,0,0
11,11,6589,5,12.987012987013
0,0,6578,0,0
125,2.04918032786885,3358,13,1.44183927352895
86,1.32307692307692,3233,10,1.43864520725625
124,2.33962264150943,3147,8,1.65096701292074
0,0,3023,0,0
0,0,3023,0,0
79,1.83720930232558,3023,7,2.93421743894986
305,1.63101604278075,2944,30,0.434193506300299
57,3.5625,2639,2,21.5450907971684
196,2.04166666666667,2582,17,0.601871918222665
221,3.56451612903226,2386,16,0.581932229098012
208,2.53658536585366,2165,12,0.962651154194165
137,2.79591836734694,1957,17,0.899914779742027
94,1.91836734693878,1820,13,1.55916708044432
2,1,1726,1,100
277,1.64880952380952,1724,21,0.567308254633868
34,1.17241379310345,1447,9,4.12528647822765
51,1.82142857142857,1413,11,3.25693107232333
103,2.64102564102564,1362,11,1.40089643221193
8,1.33333333333333,1259,3,22.0588235294118
18,6,1251,3,13.4831460674157
68,1.78947368421053,1233,15,2.16445484160126
7,3.5,1165,3,25.7142857142857
11,5.5,1158,4,13.7592137592138
66,2.35714285714286,1147,17,2.13502242183074
14,2.8,1081,4,16.3265306122449
19,1.9,1067,3,26.7206477732794
39,1.69565217391304,1048,7,4.8122493620124
2,2,1009,1,100
43,2.26315789473684,1007,4,7.32657685416054
26,3.25,964,5,8.01137545952695
34,2.42857142857143,938,6,6.53312757619444
12,6,904,6,11.9047619047619
53,1.65625,892,12,2.45519947388583
9,1.125,839,2,49.3827160493827
29,2.07142857142857,830,5,10.5842328531228
42,2.47058823529412,801,11,3.81390657504886
34,3.4,759,7,5.25657071339174
47,2.76470588235294,725,9,3.33024976873266
0,0,678,0,0
158,5.64285714285714,12718,9,2.09458596935247
660,3.28358208955224,12560,29,0.295749811731615
0,0,11900,0,0
59,5.9,11900,8,3.62986560627284
172,4.52631578947368,11841,16,1.08925144873707
94,13.4285714285714,11669,9,2.6141892382543
90,6.92307692307692,11575,13,1.80590333105698
1214,4.00660066006601,11485,48,0.162292813307842
2,2,10271,1,100
41,1.20588235294118,10269,10,4.45145135862005
100,2.38095238095238,10228,13,2.21273913148898
56,3.73333333333333,10128,11,3.19837878320631
226,8.69230769230769,10072,13,1.34534061483978
882,3.7531914893617,9846,49,0.241631436921508
0,0,8964,0,0
117,3.65625,8964,15,1.61814320113852
50,3.33333333333333,8847,10,4.27070645554202
59,4.21428571428571,8797,8,3.22196900130503
18,9,8738,4,14.1093474426808
0,0,8720,0,0
121,1.21,3371,2,41.8004234683423
85,0.634328358208955,3250,3,2.91047525482009
132,1.40425531914894,3165,3,4.12397873168201
135,1.84931506849315,3033,2,7.13305898491084
64,1.93939393939394,2898,2,26.3671875
37,0.493333333333333,2834,2,10.2264426588751
159,3.53333333333333,2797,5,1.41238767334967
250,1.92307692307692,2638,4,0.777832402234637
98,0.640522875816993,2388,1,100
0,0,2290,0,0
45,0.115089514066496,719,3,8.59504132231405
6,0.428571428571429,674,3,22.2222222222222
17,0.186813186813187,668,5,11.0294117647059
4,0.173913043478261,651,2,37.5
15,1.875,647,7,8.61538461538462
0,0,632,0,0
1375,7.85714285714286,48781,30,0.22757072522836
745,3.94179894179894,47406,26,0.546748632259854
1778,6.04761904761905,46661,29,0.232471361393098
828,5.83098591549296,44883,18,0.657707560068265
0,0,44055,0,0
385,0.736137667304015,2082,32,0.41593421176747
28,1.55555555555556,33494,5,9.3016599885518
11,11,33466,2,29.7520661157025
270,3.17647058823529,33455,9,1.87481119311004
729,6.81308411214953,33185,7,1.80845812833367
754,7.32038834951456,32456,12,0.538320359794058
17,17,31702,3,33.0882352941176
1256,3.96214511041009,31685,18,0.188027518656417
0,0,30429,0,0
0,0,4847,0,0
0,0,4847,0,0
0,0,4847,0,0
0,0,4847,0,0
2,0.5,4847,1,100
6,1.5,4845,5,18.5185185185185
3,0.428571428571429,4839,3,33.3333333333333
0,0,4836,0,0
1,0.142857142857143,4836,1,100
0,0,4835,0,0
2,0.5,4835,2,50
0,0,4833,0,0
0,0,4833,0,0
0,0,4833,0,0
0,0,4833,0,0
3,0.75,4833,2,44.4444444444444
3,1,4830,2,44.4444444444444
4,1,4827,1,100
2,0.285714285714286,4823,2,50
1,0.333333333333333,4821,1,100
2,0.5,4820,1,100
1,0.333333333333333,4818,1,100
1,0.25,4817,1,100
1,1,4816,1,100
2,2,4815,2,50
0,0,4813,0,0
1,0.25,4813,1,100
3,1,4812,2,44.4444444444444
1,0.25,4809,1,100
2,2,4808,2,50
2,2,4806,1,100
0,0,4804,0,0
4,1,4804,3,30
2,0.666666666666667,4800,2,50
0,0,4798,0,0
2,1,4798,2,50
2,1,4796,2,50
0,0,4794,0,0
0,0,4794,0,0
0,0,4794,0,0
0,0,4794,0,0
2,0.666666666666667,4794,2,50
1,0.2,4792,1,100
1,0.5,4791,1,100
0,0,4790,0,0
0,0,4790,0,0
0,0,4790,0,0
6,1,4790,4,22.2222222222222
0,0,4784,0,0
0,0,4784,0,0
3,0.6,4784,2,44.4444444444444
0,0,4781,0,0
0,0,4781,0,0
0,0,4781,0,0
1,1,4781,1,100
3,0.5,4780,2,44.4444444444444
2,2,4777,1,100
0,0,4775,0,0
0,0,4775,0,0
0,0,4775,0,0
3,1.5,4775,2,44.4444444444444
0,0,4772,0,0
3,3,4772,3,33.3333333333333
2,0.5,4769,2,50
1,0.25,4767,1,100
2,0.666666666666667,4766,2,50
3,0.75,4764,3,33.3333333333333
1,0.333333333333333,4761,1,100
7,0.538461538461538,4760,4,17.5824175824176
1,0.125,4753,1,100
0,0,4752,0,0
2,1,4752,1,100
1,1,4750,1,100
1,0.25,4749,1,100
11,0.34375,4748,3,27.2727272727273
0,0,4737,0,0
1,0.333333333333333,4737,1,100
3,0.214285714285714,4736,2,44.4444444444444
1,0.333333333333333,4733,1,100
1,1,4732,1,100
1,1,4731,1,100
3,0.1875,4730,3,33.3333333333333
3,0.75,4727,2,44.4444444444444
0,0,4724,0,0
8,0.666666666666667,4724,3,17.3076923076923
2,0.666666666666667,4716,1,100
4,0.8,4714,3,30
3,3,4710,2,44.4444444444444
1,0.125,4707,1,100
1,0.25,4706,1,100
1,0.5,4705,1,100
4,0.666666666666667,4704,4,25
4,0.666666666666667,4700,1,100
2,0.285714285714286,4696,2,50
0,0,4694,0,0
5,1.25,4694,4,22.8571428571429
1,0.333333333333333,4689,1,100
5,1.25,4688,2,48
4,1.33333333333333,4683,3,30
6,1.5,4679,2,50
2,2,4673,2,50
0,0,4671,0,0
2,0.5,31323,2,50
257,3.29487179487179,31321,25,0.90425719322459
192,3.09677419354839,31064,24,1.2410178173533
148,4.11111111111111,30872,23,1.66940245526923
147,3.675,30724,25,1.38164255752301
249,3.66176470588235,30577,23,1.10763627410916
190,2.87878787878788,30328,26,1.21499853445774
207,2.27472527472527,30138,27,0.939116368364277
192,2.90909090909091,29931,24,1.1432320935136
226,3.64516129032258,29739,31,0.841397823375174
234,3.29577464788732,29513,23,0.950412715833402
220,3.49206349206349,29279,22,1.19789827912359
5,5,29059,2,48
0,0,29054,0,0
163,0.594890510948905,17500,15,0.904495477522612
78,1.5,17337,5,4.19471465952899
20,1.33333333333333,17259,5,10.3448275862069
296,1.67231638418079,17239,15,0.588719191440555
229,1.25136612021858,16943,18,0.661746496559909
30,1.76470588235294,16714,5,7.63187429854097
99,2.91176470588235,16684,9,2.80700015737186
0,0,16585,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,2148,0,0
16,5.33333333333333,2148,2,42.96875
0,0,2132,0,0
7,7,2132,1,100
0,0,2125,0,0
0,0,2125,0,0
8,4,2125,1,100
64,1.48837209302326,2117,3,8.21713147410359
12,1.33333333333333,2053,2,48.6111111111111
4,4,2041,2,37.5
17,1.54545454545455,2037,2,48.4429065743945
0,0,2020,0,0
0,0,2020,0,0
3,3,2020,1,100
12,12,2017,1,100
0,0,2005,0,0
0,0,2005,0,0
0,0,2005,0,0
0,0,2005,0,0
19,19,2005,2,26.5927977839335
0,0,1986,0,0
0,0,1986,0,0
0,0,1986,0,0
0,0,1986,0,0
0,0,1986,0,0
11,11,1986,1,100
0,0,1975,0,0
0,0,1975,0,0
3,1.5,1975,2,44.4444444444444
15,7.5,1972,3,15.2542372881356
0,0,1957,0,0
0,0,1957,0,0
3,3,1957,1,100
18,1.38461538461538,1954,3,22.1052631578947
0,0,1936,0,0
7,7,1936,2,24.4897959183673
9,3,1929,1,100
0,0,1920,0,0
12,1.71428571428571,1920,2,48.6111111111111
22,11,1908,2,29.7520661157025
0,0,1886,0,0
0,0,1886,0,0
0,0,1886,0,0
0,0,1886,0,0
0,0,1886,0,0
0,0,1886,0,0
32,1.77777777777778,1886,2,49.8046875
0,0,1854,0,0
11,1.83333333333333,1854,4,13.7592137592138
10,0.833333333333333,1843,2,48
4,4,1833,1,100
9,9,1829,2,44.4444444444444
3,1.5,1820,1,100
67,1.97058823529412,1817,4,3.77062058130401
6,2,1750,2,44.4444444444444
11,5.5,1744,2,46.2809917355372
14,7,1733,2,48.9795918367347
0,0,1719,0,0
0,0,1719,0,0
16,2,1719,3,14.4230769230769
5,0.833333333333333,1703,2,48
16,4,1698,2,30.46875
0,0,1682,0,0
0,0,1682,0,0
0,0,1682,0,0
11,5.5,1682,2,39.6694214876033
11,11,1671,1,100
0,0,1660,0,0
0,0,1660,0,0
1,1,1660,1,100
24,4,1659,4,10.4166666666667
25,2.5,1635,4,11.2941176470588
0,0,1610,0,0
0,0,1610,0,0
0,0,1610,0,0
0,0,1610,0,0
8,2,1610,2,37.5
22,1.57142857142857,1602,3,27.2727272727273
4,4,1580,1,100
5,5,1576,2,32
2,2,1571,1,100
0,0,1569,0,0
